Feature ID	Taxon	Confidence
d7c89b0370175098223bc1755e04900e	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	0.9994787616686179
efc20764b50e51a81eb724f7a0f3ad62	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	0.9983091794473681
3fa43c710aa1c4f580d6b2f7f77c8118	d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micromonosporales; f__Micromonosporaceae; g__Micromonospora	0.7259481230717981
2ade7dc1760423d958749b39613d595e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__uncultured	0.8734351745096739
51acc064ff0910bf8819accf9cbe6e0d	d__Bacteria	0.7632153048973912
f401a6f86f4a58d8c570c43be97d7422	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast	0.980652092128768
84b0a6090a8ebe3cb3e6287b2a94699e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae	0.9028858761877206
dca97eb928c14881fab20168275bc7a8	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella	0.7095321034076958
f6ff029dac902e00314eed2f39a979cb	Unassigned	0.4667734131565707
e6126c399b447cc6e44147d3d7628553	d__Bacteria	0.8905423179245728
2ed5c8b3399404c7562e7f6b4b2f92d3	Unassigned	0.7566166089225256
1450baec36dec75c6bedd1dd6858c88e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Delftia	0.9983784968721514
2736e3cf54b7a4c643cd8a87182f3f42	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Hydrogenophilaceae; g__Hydrogenophilus	0.9997816279002358
9f211f660b0acc4b32ea8014fa34947e	d__Bacteria	0.8669710090096786
bfccb6df61974d618688a40dee6d4d09	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__bacterium_28S312	0.7160290407996731
